Date : 2026-04-17 15:40:49
Directory : /home/sachin-kumar/Desktop/coding/1
Total : 65 files,  8287 codes, 216 comments, 936 blanks, all 9439 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/sachin-kumar/Desktop/coding/1/internal/titan/wasm/graphics.cpp           | C++              |         52 |          2 |         11 |         65 |
| /home/sachin-kumar/Desktop/coding/1/login.css                                  | CSS              |        125 |          0 |         18 |        143 |
| /home/sachin-kumar/Desktop/coding/1/login.js                                   | JavaScript       |         95 |          3 |         18 |        116 |
| /home/sachin-kumar/Desktop/coding/1/pkg/capabilities/capabilities.go           | Go               |         41 |          5 |          8 |         54 |
| /home/sachin-kumar/Desktop/coding/1/pkg/config/config.go                       | Go               |         48 |          5 |         14 |         67 |
| /home/sachin-kumar/Desktop/coding/1/pkg/config/config_test.go                  | Go               |         36 |          3 |          8 |         47 |
| /home/sachin-kumar/Desktop/coding/1/pkg/errors/errors.go                       | Go               |         52 |          5 |         10 |         67 |
| /home/sachin-kumar/Desktop/coding/1/pkg/errors/errors_test.go                  | Go               |         35 |          2 |         11 |         48 |
| /home/sachin-kumar/Desktop/coding/1/pkg/etl/pipeline.go                        | Go               |         64 |          8 |         17 |         89 |
| /home/sachin-kumar/Desktop/coding/1/pkg/etl/workers.go                         | Go               |         46 |          3 |         11 |         60 |
| /home/sachin-kumar/Desktop/coding/1/pkg/logger/logger.go                       | Go               |         78 |          8 |         15 |        101 |
| /home/sachin-kumar/Desktop/coding/1/pkg/logger/logger_test.go                  | Go               |         25 |          3 |          6 |         34 |
| /home/sachin-kumar/Desktop/coding/1/pkg/metrics/metrics.go                     | Go               |         29 |          6 |          8 |         43 |
| /home/sachin-kumar/Desktop/coding/1/pkg/metrics/metrics_test.go                | Go               |         18 |          3 |          6 |         27 |
| /home/sachin-kumar/Desktop/coding/1/pkg/p2p/discovery.go                       | Go               |        119 |          6 |         21 |        146 |
| /home/sachin-kumar/Desktop/coding/1/pkg/p2p/gossip.go                          | Go               |         95 |          7 |         21 |        123 |
| /home/sachin-kumar/Desktop/coding/1/pkg/sandbox/manager.go                     | Go               |         55 |          5 |         15 |         75 |
| /home/sachin-kumar/Desktop/coding/1/pkg/sandbox/manager_test.go                | Go               |         22 |          3 |          8 |         33 |
| /home/sachin-kumar/Desktop/coding/1/pkg/security/security.go                   | Go               |         68 |         11 |         18 |         97 |
| /home/sachin-kumar/Desktop/coding/1/pkg/security/security_test.go              | Go               |         40 |          5 |         11 |         56 |
| /home/sachin-kumar/Desktop/coding/1/pkg/vector/vector.go                       | Go               |         57 |          6 |         17 |         80 |
| /home/sachin-kumar/Desktop/coding/1/pkg/vector/vector_test.go                  | Go               |         50 |          0 |         12 |         62 |
| /home/sachin-kumar/Desktop/coding/1/script.js                                  | JavaScript       |         44 |          7 |          9 |         60 |
| /home/sachin-kumar/Desktop/coding/1/settings.css                               | CSS              |        198 |          0 |         26 |        224 |
| /home/sachin-kumar/Desktop/coding/1/settings.js                                | JavaScript       |        173 |          7 |         22 |        202 |
| /home/sachin-kumar/Desktop/coding/1/style.css                                  | CSS              |        255 |          0 |         38 |        293 |
| /home/sachin-kumar/Desktop/coding/1/web/admin/README.md                        | Markdown         |          9 |          0 |          8 |         17 |
