"filename", "language", "JavaScript", "CSS", "Makefile", "Go Module File", "HTML", "Go Checksum File", "Go", "JSON", "XML", "Markdown", "C++", "JavaScript JSX", "comment", "blank", "total"
"/home/sachin-kumar/Desktop/coding/1/pkg/metrics/metrics_test.go", "Go", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 6, 27
"/home/sachin-kumar/Desktop/coding/1/pkg/p2p/discovery.go", "Go", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 6, 21, 146
"/home/sachin-kumar/Desktop/coding/1/pkg/p2p/gossip.go", "Go", 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 7, 21, 123
"/home/sachin-kumar/Desktop/coding/1/pkg/sandbox/manager.go", "Go", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 5, 15, 75
"/home/sachin-kumar/Desktop/coding/1/pkg/sandbox/manager_test.go", "Go", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 8, 33
"/home/sachin-kumar/Desktop/coding/1/pkg/security/security.go", "Go", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 11, 18, 97
"/home/sachin-kumar/Desktop/coding/1/pkg/security/security_test.go", "Go", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 5, 11, 56
"/home/sachin-kumar/Desktop/coding/1/pkg/vector/vector.go", "Go", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 6, 17, 80
"/home/sachin-kumar/Desktop/coding/1/pkg/vector/vector_test.go", "Go", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 12, 62
"/home/sachin-kumar/Desktop/coding/1/script.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 60
"/home/sachin-kumar/Desktop/coding/1/settings.css", "CSS", 0, 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 224
"/home/sachin-kumar/Desktop/coding/1/settings.js", "JavaScript", 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22, 202
"/home/sachin-kumar/Desktop/coding/1/style.css", "CSS", 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 293
"/home/sachin-kumar/Desktop/coding/1/web/admin/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 8, 17
"/home/sachin-kumar/Desktop/coding/1/web/admin/eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"/home/sachin-kumar/Desktop/coding/1/web/admin/index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/home/sachin-kumar/Desktop/coding/1/web/admin/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 3103, 0, 0, 0, 0, 0, 1, 3104
"/home/sachin-kumar/Desktop/coding/1/web/admin/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
"/home/sachin-kumar/Desktop/coding/1/web/admin/public/favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/sachin-kumar/Desktop/coding/1/web/admin/public/icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"/home/sachin-kumar/Desktop/coding/1/web/admin/src/App.css", "CSS", 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 185
"/home/sachin-kumar/Desktop/coding/1/web/admin/src/App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 191, 6, 18, 215
"/home/sachin-kumar/Desktop/coding/1/web/admin/src/assets/react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/sachin-kumar/Desktop/coding/1/web/admin/src/assets/vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/home/sachin-kumar/Desktop/coding/1/web/admin/src/index.css", "CSS", 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 207
"/home/sachin-kumar/Desktop/coding/1/web/admin/src/main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"/home/sachin-kumar/Desktop/coding/1/web/admin/vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"/home/sachin-kumar/Desktop/coding/1/web/web.go", "Go", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 3, 8
"Total", "-", 864, 1191, 31, 49, 881, 106, 1676, 3135, 27, 9, 118, 200, 216, 936, 9439
