"filename", "language", "Markdown", "Makefile", "HTML", "Go Module File", "CSS", "JavaScript", "Python", "Shell Script", "C++", "YAML", "Go Checksum File", "pip requirements", "Go", "Batch", "CMake", "C", "CMake Cache", "TypeScript", "comment", "blank", "total"
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/ai-issues.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 90
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-3rd-party.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 58
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-and-test-snapdragon.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 117
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-android.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 89
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-apple.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 215
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-cache.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 23, 23, 118
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-cann.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 103
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-cmake-pkg.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-cross.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 129, 47, 317
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-msys.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 73
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-openvino.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 121
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-riscv.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 115
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-sanitize.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 88
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-self-hosted.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 64, 50, 300
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-sycl.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 143
