"filename", "language", "Markdown", "Makefile", "Go Module File", "YAML", "Python", "Go", "Shell Script", "Docker", "pip requirements", "Go Checksum File", "C++", "JavaScript JSX", "CSS", "HTML", "XML", "JSON", "CMake", "JavaScript", "C", "Batch", "TypeScript", "JSON with Comments", "comment", "blank", "total"
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-cross.yml", "YAML", 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 47, 317
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-msys.yml", "YAML", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 73
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-openvino.yml", "YAML", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 121
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-riscv.yml", "YAML", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 115
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-sanitize.yml", "YAML", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 88
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-self-hosted.yml", "YAML", 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 50, 300
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-sycl.yml", "YAML", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 143
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build-vulkan.yml", "YAML", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 98
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/build.yml", "YAML", 0, 0, 0, 921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 164, 1110
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/check-vendor.yml", "YAML", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 53
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/close-issue.yml", "YAML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
"/home/sachin-kumar/Desktop/coding/1/cpp/build/Release/_deps/llama-src/.github/workflows/copilot-setup-steps.yml", "YAML", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 57
